,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2021,,,,,,,,,,,,,,,
CS402 - Compiler Construction     Section:BCS-9A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Sayed Yousuf,Registered Students:,43,Received Feedbacks:,39,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
Course Content and organization,,,,,,,,,,,,,,,,,,,
1 The course objective was clear,,10,11,1,0,2,4,6,2,1,2,0,0,0,0,0,0,2.92,0
2 The course workload was manageable,,12,8,2,1,1,5,5,2,2,1,0,0,0,0,0,1,3.03,3.03
"3 The course was well organized ( e.g. timely access to 
materials, notification of changes, etc.)",,10,9,3,1,1,4,6,3,1,1,0,0,0,0,0,1,2.95,2.95
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
4 The instructor is prepared for each class,,11,11,1,0,1,7,4,2,1,1,0,0,0,0,0,1,3.18,3.18
5 The instructor demonstrates knowledge of the ,,13,8,2,0,1,5,6,3,1,0,0,0,0,0,0,1,3.21,3.21
,subject,,,,,,,,,,,,,,,,,,
6 The instructor has completed the whole course,,11,9,3,0,1,6,4,3,1,1,0,0,0,0,0,1,3.08,3.08
7 The instructor provides additional material apart from ,,11,10,2,0,1,5,5,3,1,1,0,0,0,0,0,0,3.08,0
,the textbook,,,,,,,,,,,,,,,,,,
8 The instructor communicates the subject matter ,,11,10,2,0,1,6,5,3,1,0,0,0,0,0,0,1,3.18,3.18
,effectively,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation",,14,7,2,0,1,5,6,3,1,0,0,0,0,0,0,1,3.23,3.23
10,The instructor arrived on time,13,9,1,0,1,6,4,4,1,0,0,0,0,0,0,1,3.23,3.23
11 The instructor lefton time,,13,7,2,1,1,6,5,2,2,0,0,0,0,0,0,1,3.15,3.15
12,The instructor is fair in examination,13,8,2,0,1,6,4,4,1,0,0,0,0,0,0,1,3.21,3.21
13,"The instructor returned the graded scripts etc. in a 
reasonable amount of time",11,8,2,0,3,5,5,3,2,0,0,0,0,0,0,1,2.95,2.95
14,"The instructor was available during the specified 
office hours",11,9,3,0,1,6,4,2,3,0,0,0,0,0,0,0,3.08,0
"15 The subject matter presented in the course has 
increased your knowledge of the subject",,12 10 1,,,0,1,6,6,2,1,0,0,0,0,0,0,1,3.26,3.26
16 The assignments and exams covered the materials ,,13,9,1,0,1,6,5,2,2,0,0,0,0,0,0,1,3.23,3.23
,presented in the course,,,,,,,,,,,,,,,,,,
17 The course Material is modern and updated,,11,10,2,0,1,5,6,2,2,0,0,0,0,0,0,0,3.13,0
Student Contribution,,,,,,,,,,,,,,,,,,,
18,Did you actively participated in this course,8,13,1,0,2,5,7,2,1,0,0,0,0,0,0,0,3.05,0
19 Did you learn from this course,,9,12,1,1,1,5,7,2,1,0,0,0,0,0,0,1,3.1,3.1
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"20 Was this course well structured to achieve the 
learning outcomes (there was a good balance of 
lectures, tutorials, practicals etc.)",,10,11,1,1,1,5,7,2,1,0,0,0,0,0,0,1,3.13,3.13
21 Did the learning and teaching methods encouraged ,,10,11,2,0,1,5,7,2,1,0,0,0,0,0,0,1,3.15,3.15
,participation?,,,,,,,,,,,,,,,,,,
22 Was classroom environment conducive to learning?,,10,9,4,0,1,6,6,2,1,0,0,0,0,0,0,0,3.13,0
23 Were classrooms satisfactory?,,10,9,3,0,2,5,7,2,1,0,0,0,0,0,0,0,3.05,0
Learning Resources,,,,,,,,,,,,,,,,,,,
24,"Recommended reading books etc. were relevant and 
appropriate",12,6,1,4,1,6,5,3,0,1,0,0,0,0,0,0,3,0
"25 Provision of learning resources in the library was 
adequate and appropriate (if relevant)",,9,8,4,2,1,5,7,2,1,0,0,0,0,0,0,0,2.97,0
Quality of Delivery,,,,,,,,,,,,,,,,,,,
26,"The course stimulated my interest and thought in the 
subject area",8,11,2,2,1,6,6,3,0,0,0,0,0,0,0,1,3.05,3.05
27 Pace of the course was appropriate,,10,9,2,2,1,5,6,3,1,0,0,0,0,0,0,1,3.03,3.03
Page 1 of 2,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2021,,,,,,,,,,,,,,,
CS402 - Compiler Construction     Section:BCS-9A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Sayed Yousuf,Registered Students:,43,Received Feedbacks:,39,,,,,,,,,,,,,,
28 Ideas and concepts were presented clearly,11,9,3,0,1,6,5,2,2,0,0,0,0,0,0,,1,3.13,3.13
Instructor/TA evaluation,,,,,,,,,,,,,,,,,,,
29 I understood the lectures,11,8,2,1,2,6,5,2,2,0,0,0,0,0,0,,0,3.03,0
30 The material was well organized and presented,21,0,0,0,3,12,0,0,0,3,0,0,0,0,0,,1,3.38,3.38
31 The instructor was responsive to student needs and ,14,8,1,0,1,6,5,2,1,1,0,0,0,0,0,,1,3.23,3.23
problems,,,,,,,,,,,,,,,,,,,
32 Had the instructor been regular throughout the ,16,6,1,0,1,5,6,3,1,0,0,0,0,0,0,,1,3.31,3.31
course?,,,,,,,,,,,,,,,,,,,
Tutorial,,,,,,,,,,,,,,,,,,,
33 The material in the tutorials was useful,11,11,1,0,1,6,4,3,1,1,0,0,0,0,0,,0,3.13,0
34 I was happy with the amount of work needed for ,13,9,1,0,1,5,6,2,1,1,0,0,0,0,0,,0,3.18,0
tutorials,,,,,,,,,,,,,,,,,,,
35 The tutor dealt effectively with my problems,10 12 1,,,0,1,7,5,2,1,0,0,0,0,0,0,,0,3.23,0
,,,,,,,,,,,,,,,Total:,25,69.38,%,
,,,,,,,,,,,,Overall Rating: 69.38,,,,,,,
Comments,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
Page 2 of 2,,,,,,,,,,,,,,,,,,,
