,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,,Fall 2021,,,,,,,,,,,,,,
CS4050 - Information Systems Audit and Control     Section:BCS-7A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Muhammad Kashif Siddiqui,Registered Students:,47,Received Feedbacks:,41,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
Course Content and organization,,,,,,,,,,,,,,,,,,,
1 The course objective was clear,,1,1,0,0,0,24 10 1,,,0,0,3,1,0,0,0,0,3.66,0
2 The course workload was manageable,,2,0,0,0,0,25,8,2,0,0,3,1,0,0,0,1,3.68,3.68
"3 The course was well organized ( e.g. timely access to 
materials, notification of changes, etc.)",,2,0,0,0,0,23,11,1,0,0,3,1,0,0,0,1,3.66,3.66
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
4 The instructor is prepared for each class,,2,0,0,0,0,23,11,1,0,0,3,1,0,0,0,1,3.66,3.66
5 The instructor demonstrates knowledge of the ,,2,0,0,0,0,24 10 1,,,0,0,3,1,0,0,0,1,3.68,3.68
,subject,,,,,,,,,,,,,,,,,,
6 The instructor has completed the whole course,,2,0,0,0,0,23,11,1,0,0,3,1,0,0,0,1,3.66,3.66
7 The instructor provides additional material apart from ,,2,0,0,0,0,21 12 2,,,0,0,3,1,0,0,0,0,3.59,0
,the textbook,,,,,,,,,,,,,,,,,,
8 The instructor communicates the subject matter ,,1,1,0,0,0,24 10 1,,,0,0,3,1,0,0,0,1,3.66,3.66
,effectively,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation",,2,0,0,0,0,23,11,1,0,0,3,1,0,0,0,1,3.66,3.66
10,The instructor arrived on time,2,0,0,0,0,22 12 1,,,0,0,3,1,0,0,0,1,3.63,3.63
11 The instructor lefton time,,2,0,0,0,0,22 12 1,,,0,0,2,1,1,0,0,1,3.59,3.59
12,The instructor is fair in examination,2,0,0,0,0,20 12 3,,,0,0,3,1,0,0,0,1,3.54,3.54
13,"The instructor returned the graded scripts etc. in a 
reasonable amount of time",2,0,0,0,0,19 14 1,,,0,1,2,2,0,0,0,1,3.46,3.46
14,"The instructor was available during the specified 
office hours",2,0,0,0,0,19,11,4,0,1,2,1,1,0,0,0,3.37,0
"15 The subject matter presented in the course has 
increased your knowledge of the subject",,2,0,0,0,0,21 13 1,,,0,0,3,1,0,0,0,1,3.61,3.61
16 The assignments and exams covered the materials ,,2,0,0,0,0,20 13 2,,,0,0,3,1,0,0,0,1,3.56,3.56
,presented in the course,,,,,,,,,,,,,,,,,,
17 The course Material is modern and updated,,2,0,0,0,0,20 14 1,,,0,0,3,1,0,0,0,0,3.59,0
Student Contribution,,,,,,,,,,,,,,,,,,,
