,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2022,,,,,,,,,,,,,,,
CS4057 - Agile Software Project Management     Section:BCS-8B,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Syed Ali Shan,Registered Students:,51,Received Feedbacks:,49,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
"1 The instructor provides feedback for the graded 
quizzes, assignments etc . in a reasonable amount of 
time .",,16,3,0,0,0,25,4,0,0,0,1,0,0,0,0,1,3.86,3.86
"2 The course objectives are discussed by the instructor 
during early lectures .",,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
"3 The instructor has the capability to communicate the 
subject matter effectively .",,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
4 The course material enhances my knowledge of the ,,15,4,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.86,3.86
,subject .,,,,,,,,,,,,,,,,,,
5 The course stimulates my interest and thought in the ,,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
,subject area .,,,,,,,,,,,,,,,,,,
6 The instructor comes in the class well-prepared for ,,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
,each lecture .,,,,,,,,,,,,,,,,,,
"7 The instructor demonstrates his/her command on the 
knowledge of the subject  .",,15,4,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.86,3.86
8 The instructor presents the concepts and ideas of the ,,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
,subject clearly .,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation .",,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
10,"The instructor is responsive to students’ needs and 
problems .",16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
11 I am able to actively participate  during the lectures .,,15,3,1,0,0,27,2,0,0,0,1,0,0,0,0,1,3.86,3.86
12,"The instructor arrives for lectures in the classroom on 
time .",16,3,0,0,0,27,1,1,0,0,1,0,0,0,0,1,3.88,3.88
13,"The instructor provides additional material apart from 
the textbook .",15,4,0,0,0,26,2,1,0,0,1,0,0,0,0,1,3.84,3.84
14,"The grading of evaluation items (assignments, 
quizzes) has been fair .",16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
15,"The assignments are relevant to the materials 
presented in the course .",16,3,0,0,0,25,4,0,0,0,1,0,0,0,0,1,3.86,3.86
16,"There is sufficient contact time (face to face and/or 
virtual/online) opportunity with the  instructor to 
support effective learning .",16,3,0,0,0,25,4,0,0,0,1,0,0,0,0,1,3.86,3.86
17 The instructor has the habit of leaving the classroom ,,15,3,0,0,1,26,3,0,0,0,1,0,0,0,0,1,3.8,3.8
,at the designated time .,,,,,,,,,,,,,,,,,,
"18 The learning environment in the classroom has been 
conducive for knowledge acquisition",,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
19 The course workload is manageable .,,16,3,0,0,0,26,2,1,0,0,1,0,0,0,0,1,3.86,3.86
20 The course material is uptodate and related to ,,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
,modern technological trends .,,,,,,,,,,,,,,,,,,
21 Recommended text and reference books are relevant ,,15,3,0,1,0,26,3,0,0,0,1,0,0,0,0,1,3.82,3.82
,and appropriate .,,,,,,,,,,,,,,,,,,
22 Course Content and Organization,,16,3,0,0,0,26,3,0,0,0,1,0,0,0,0,1,3.88,3.88
,,,,,,,,,,,,,,,,Total:,22,84.98,%
,,,,,,,,,,,,,Overall Rating: 96.57,,,,,,
Page 1 of 3,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2022,,,,,,,,,,,,,,,
CS4057 - Agile Software Project Management     Section:BCS-8B,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Syed Ali Shan,Registered Students:,51,Received Feedbacks:,49,,,,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,,,,,
"Assignment, Quizzes  Evaluation",,,,,,,,,,,,,,,,,,,
1 Best,,,,,,,,,,,,,,,,,,,
2 It's always fair,,,,,,,,,,,,,,,,,,,
3 The Assignment and quizes were great for the learning.,,,,,,,,,,,,,,,,,,,
4 Was fair.,,,,,,,,,,,,,,,,,,,
5,Excellent,,,,,,,,,,,,,,,,,,
6,Excellent,,,,,,,,,,,,,,,,,,
7,"It was good. But i think it should be best out of 2 in quizzes to give student a good chance to improve 
their scores.",,,,,,,,,,,,,,,,,,
8,"They were fun to take, as having clear knowledge of the all the topics really helped",,,,,,,,,,,,,,,,,,
9,Perfect teaching,,,,,,,,,,,,,,,,,,
10,Fair,,,,,,,,,,,,,,,,,,
11,"I liked the idea of increasing class participation weightage instead of focusing on quizzes and 
assignments more because I thought that gave us a better learning opportunity",,,,,,,,,,,,,,,,,,
