,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,,Fall 2020,,,,,,,,,,,,,,
CS494 - IS Audit and Control     Section:BCS-7A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Muhammad Kashif Siddiqui,Registered Students:,50,Received Feedbacks:,10,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
Course Content and organization,,,,,,,,,,,,,,,,,,,
1 The course objective was clear,,0,1,0,0,0,5,3,0,1,0,0,0,0,0,0,0,3.3,0
2 The course workload was manageable,,0,1,0,0,0,6,2,0,1,0,0,0,0,0,0,1,3.4,3.4
"3 The course was well organized ( e.g. timely access to 
materials, notification of changes, etc.)",,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,1,3.6,3.6
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
4 The instructor is prepared for each class,,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
5 The instructor demonstrates knowledge of the ,,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
,subject,,,,,,,,,,,,,,,,,,
6 The instructor has completed the whole course,,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
7 The instructor provides additional material apart from ,,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3.6,0
,the textbook,,,,,,,,,,,,,,,,,,
8 The instructor communicates the subject matter ,,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,1,3.6,3.6
,effectively,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation",,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
10,The instructor arrived on time,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
11 The instructor lefton time,,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
12,The instructor is fair in examination,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
13,"The instructor returned the graded scripts etc. in a 
reasonable amount of time",0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
14,"The instructor was available during the specified 
office hours",0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3.6,0
"15 The subject matter presented in the course has 
increased your knowledge of the subject",,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
16 The assignments and exams covered the materials ,,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.7,3.7
,presented in the course,,,,,,,,,,,,,,,,,,
17 The course Material is modern and updated,,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3.6,0
Student Contribution,,,,,,,,,,,,,,,,,,,
18,Did you actively participated in this course,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3.6,0
19 Did you learn from this course,,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,1,3.6,3.6
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"20 Was this course well structured to achieve the 
learning outcomes (there was a good balance of 
lectures, tutorials, practicals etc.)",,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,1,3.6,3.6
21 Did the learning and teaching methods encouraged ,,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,1,3.6,3.6
,participation?,,,,,,,,,,,,,,,,,,
22 Was classroom environment conducive to learning?,,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3.6,0
