,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,,Fall 2020,,,,,,,,,,,,,,
CS518 - Software Quality Assurance     Section:MSP-1A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Syed Tassuduq Hussain,Registered Students:,37,Received Feedbacks:,16,,,,,,,,,,,,,,
,"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
Course Content and organization,,,,,,,,,,,,,,,,,,,
1 The course objective was clear,,4,5,1,0,0,2,2,0,0,0,1,1,0,0,0,0,3.38,0
2 The course workload was manageable,,3,6,1,0,0,2,2,0,0,0,0,2,0,0,0,1,3.25,3.25
"3 The course was well organized ( e.g. timely access to 
materials, notification of changes, etc.)",,4,5,1,0,0,2,2,0,0,0,2,0,0,0,0,1,3.44,3.44
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
4 The instructor is prepared for each class,,5,4,1,0,0,3,1,0,0,0,0,2,0,0,0,1,3.44,3.44
5 The instructor demonstrates knowledge of the ,,5,4,1,0,0,3,1,0,0,0,1,1,0,0,0,1,3.5,3.5
,subject,,,,,,,,,,,,,,,,,,
6 The instructor has completed the whole course,,5,4,1,0,0,3,1,0,0,0,0,2,0,0,0,1,3.44,3.44
7 The instructor provides additional material apart from ,,4,4,2,0,0,3,1,0,0,0,1,1,0,0,0,0,3.38,0
,the textbook,,,,,,,,,,,,,,,,,,
8 The instructor communicates the subject matter ,,4,5,1,0,0,3,1,0,0,0,1,1,0,0,0,1,3.44,3.44
,effectively,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation",,4,5,1,0,0,3,1,0,0,0,1,1,0,0,0,1,3.44,3.44
10,The instructor arrived on time,4,5,1,0,0,3,1,0,0,0,0,2,0,0,0,1,3.38,3.38
11 The instructor lefton time,,4,5,1,0,0,3,1,0,0,0,1,1,0,0,0,1,3.44,3.44
12,The instructor is fair in examination,5,4,1,0,0,3,1,0,0,0,0,2,0,0,0,1,3.44,3.44
13,"The instructor returned the graded scripts etc. in a 
reasonable amount of time",4,3,2,1,0,3,1,0,0,0,1,0,1,0,0,1,3.19,3.19
14,"The instructor was available during the specified 
office hours",4,5,1,0,0,3,1,0,0,0,0,2,0,0,0,0,3.38,0
"15 The subject matter presented in the course has 
increased your knowledge of the subject",,4,5,1,0,0,3,1,0,0,0,1,1,0,0,0,1,3.44,3.44
16 The assignments and exams covered the materials ,,4,5,1,0,0,3,1,0,0,0,0,1,1,0,0,1,3.31,3.31
,presented in the course,,,,,,,,,,,,,,,,,,
17 The course Material is modern and updated,,5,4,1,0,0,3,1,0,0,0,1,1,0,0,0,0,3.5,0
Student Contribution,,,,,,,,,,,,,,,,,,,
18,Did you actively participated in this course,5,4,1,0,0,1,3,0,0,0,2,0,0,0,0,0,3.44,0
19 Did you learn from this course,,4,5,1,0,0,1,3,0,0,0,0,2,0,0,0,1,3.25,3.25
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"20 Was this course well structured to achieve the 
learning outcomes (there was a good balance of 
lectures, tutorials, practicals etc.)",,5,4,1,0,0,1,3,0,0,0,1,1,0,0,0,1,3.38,3.38
21 Did the learning and teaching methods encouraged ,,4,5,1,0,0,1,3,0,0,0,0,2,0,0,0,1,3.25,3.25
,participation?,,,,,,,,,,,,,,,,,,
22 Was classroom environment conducive to learning?,,4,5,1,0,0,1,3,0,0,0,1,1,0,0,0,0,3.31,0
