,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,,Fall 2020,,,,,,,,,,,,,,
CS535 - Natural Language Processing     Section:MDS-1A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Dr. MUHAMMAD SARIM,Registered Students:,41,Received Feedbacks:,10,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
Course Content and organization,,,,,,,,,,,,,,,,,,,
1 The course objective was clear,,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3.5,0
2 The course workload was manageable,,6,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,3.7,3.7
"3 The course was well organized ( e.g. timely access to 
materials, notification of changes, etc.)",,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,3.5,3.5
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
4 The instructor is prepared for each class,,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,3.5,3.5
5 The instructor demonstrates knowledge of the ,,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,3.4,3.4
,subject,,,,,,,,,,,,,,,,,,
6 The instructor has completed the whole course,,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,3.4,3.4
7 The instructor provides additional material apart from ,,5,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3.2,0
,the textbook,,,,,,,,,,,,,,,,,,
8 The instructor communicates the subject matter ,,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3.5,3.5
,effectively,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation",,5,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3.7,3.7
10,The instructor arrived on time,4,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,3.2,3.2
11 The instructor lefton time,,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3.5,3.5
12,The instructor is fair in examination,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3.3,3.3
13,"The instructor returned the graded scripts etc. in a 
reasonable amount of time",3,1,1,1,1,0,2,0,0,1,0,0,0,0,0,1,2.4,2.4
14,"The instructor was available during the specified 
office hours",5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,3.2,0
"15 The subject matter presented in the course has 
increased your knowledge of the subject",,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3.5,3.5
16 The assignments and exams covered the materials ,,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3.6,3.6
,presented in the course,,,,,,,,,,,,,,,,,,
17 The course Material is modern and updated,,6,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3.5,0
Student Contribution,,,,,,,,,,,,,,,,,,,
18,Did you actively participated in this course,6,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3.5,0
19 Did you learn from this course,,6,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,3.4,3.4
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"20 Was this course well structured to achieve the 
learning outcomes (there was a good balance of 
lectures, tutorials, practicals etc.)",,5,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,3.2,3.2
21 Did the learning and teaching methods encouraged ,,6,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,3.6,3.6
,participation?,,,,,,,,,,,,,,,,,,
22 Was classroom environment conducive to learning?,,6,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3.6,0
