,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2021,,,,,,,,,,,,,,,
CS570 - Advance Data Warehousing and Data Mining     Section:MSP-2A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Sayed Yousuf,Registered Students:,14,Received Feedbacks:,10,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
Course Content and organization,,,,,,,,,,,,,,,,,,,
1 The course objective was clear,,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0
2 The course workload was manageable,,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3.4,3.4
"3 The course was well organized ( e.g. timely access to 
materials, notification of changes, etc.)",,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3.4,3.4
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
4 The instructor is prepared for each class,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
5 The instructor demonstrates knowledge of the ,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
,subject,,,,,,,,,,,,,,,,,,
6 The instructor has completed the whole course,,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3.5,3.5
7 The instructor provides additional material apart from ,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.6,0
,the textbook,,,,,,,,,,,,,,,,,,
8 The instructor communicates the subject matter ,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
,effectively,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation",,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
10,The instructor arrived on time,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
11 The instructor lefton time,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
12,The instructor is fair in examination,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3.5,3.5
13,"The instructor returned the graded scripts etc. in a 
reasonable amount of time",3,3,1,1,0,1,0,0,0,0,1,0,0,0,0,1,3.2,3.2
14,"The instructor was available during the specified 
office hours",4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3.5,0
"15 The subject matter presented in the course has 
increased your knowledge of the subject",,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
16 The assignments and exams covered the materials ,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.6,3.6
,presented in the course,,,,,,,,,,,,,,,,,,
17 The course Material is modern and updated,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.6,0
Student Contribution,,,,,,,,,,,,,,,,,,,
18,Did you actively participated in this course,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.4,0
19 Did you learn from this course,,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3.5,3.5
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"20 Was this course well structured to achieve the 
learning outcomes (there was a good balance of 
lectures, tutorials, practicals etc.)",,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3.5,3.5
21 Did the learning and teaching methods encouraged ,,4,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3.4,3.4
,participation?,,,,,,,,,,,,,,,,,,
22 Was classroom environment conducive to learning?,,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.5,0
23 Were classrooms satisfactory?,,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.6,0
Learning Resources,,,,,,,,,,,,,,,,,,,
24,"Recommended reading books etc. were relevant and 
appropriate",3,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0
"25 Provision of learning resources in the library was 
adequate and appropriate (if relevant)",,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2.9,0
Quality of Delivery,,,,,,,,,,,,,,,,,,,
26,"The course stimulated my interest and thought in the 
subject area",4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,3.1,3.1
27 Pace of the course was appropriate,,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3.5,3.5
Page 1 of 2,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2021,,,,,,,,,,,,,,,
CS570 - Advance Data Warehousing and Data Mining     Section:MSP-2A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Sayed Yousuf,Registered Students:,14,Received Feedbacks:,10,,,,,,,,,,,,,,
28 Ideas and concepts were presented clearly,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,,1,3.6,3.6
Instructor/TA evaluation,,,,,,,,,,,,,,,,,,,
29 I understood the lectures,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,3.6,0
30 The material was well organized and presented,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,1,3.6,3.6
31 The instructor was responsive to student needs and ,4,3,1,0,0,0,1,0,0,0,0,1,0,0,0,,1,3.3,3.3
problems,,,,,,,,,,,,,,,,,,,
32 Had the instructor been regular throughout the ,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,,1,3.5,3.5
course?,,,,,,,,,,,,,,,,,,,
Tutorial,,,,,,,,,,,,,,,,,,,
33 The material in the tutorials was useful,4,3,0,0,1,1,0,0,0,0,0,1,0,0,0,,0,3.2,0
34 I was happy with the amount of work needed for ,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,,0,3.1,0
tutorials,,,,,,,,,,,,,,,,,,,
35 The tutor dealt effectively with my problems,4,2,2,0,0,1,0,0,0,0,0,1,0,0,0,,0,3.3,0
,,,,,,,,,,,,,,,Total:,27,76.8,,%
,,,,,,,,,,,,Overall Rating: 71.11,,,,,,,
Comments,,,,,,,,,,,,,,,,,,,
Overall Evaluation,,,,,,,,,,,,,,,,,,,
The best features of the course were:,,,,,,,,,,,,,,,,,,,
1 Contents,,,,,,,,,,,,,,,,,,,
The course could have been improved by:,,,,,,,,,,,,,,,,,,,
2 adding practical work,,,,,,,,,,,,,,,,,,,
