,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2022,,,,,,,,,,,,,,,
MG5041 - Entrepreneurship and Innovation     Section:MSP-2A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Syed Azhar ul Islam,Registered Students:,21,Received Feedbacks:,21,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
1 The course objectives are discussed by the instructor ,,8,4,0,0,0,6,3,0,0,0,0,0,0,0,0,1,3.67,3.67
,during early lectures.,,,,,,,,,,,,,,,,,,
2 The course plan contains a reasonable amount of ,,7,5,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.67,3.67
,research work.,,,,,,,,,,,,,,,,,,
"3 The instructor has the capability to communicate the 
subject matter effectively.",,6,6,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.67,3.67
"4 The course stimulates my interest to conduct 
research in the subject area.",,5,6,1,0,0,7,2,0,0,0,0,0,0,0,0,1,3.52,3.52
5 The instructor comes prepared for each lecture in the ,,5,6,1,0,0,8,1,0,0,0,0,0,0,0,0,1,3.57,3.57
,class.,,,,,,,,,,,,,,,,,,
"6 The instructor is acquainted with state-of-the-art 
research work related to the subject.",,5,7,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.57,3.57
7 The instructor presents the concepts and ideas of the ,,7,5,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.67,3.67
,subject clearly.,,,,,,,,,,,,,,,,,,
"8 The instructor encourages discussion of research 
ideas related to the subject.",,6,6,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.67,3.67
9 The instructor is responsive to student needs and ,,6,6,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.67,3.67
,problems.,,,,,,,,,,,,,,,,,,
10," I am able to openly discuss novel research ideas 
related to the subject.",5,6,1,0,0,7,2,0,0,0,0,0,0,0,0,1,3.52,3.52
11,"The instructor arrives for lectures in the classroom 
on time.",5,7,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.62,3.62
12,"The grading of evaluation items (assignments, 
quizzes) has been fair.",8,4,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.71,3.71
13,"The instructor provides feedback for the graded 
quizzes, assignments etc. in a reasonable amount of 
time.",6,6,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.62,3.62
14,"The research work is relevant to the materials 
presented in the course.",5,6,1,0,0,7,2,0,0,0,0,0,0,0,0,1,3.52,3.52
15,"The instructor is available during the specified office 
hours.",6,6,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.62,3.62
16,"There is sufficient contact time (face to face and/or 
virtual/online) opportunity between instructor and 
students to support effective learning.",6,6,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.67,3.67
17,"The instructor has the habit of leaving the classroom 
at the designated time.",7,5,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.67,3.67
18,"The learning environment in the classroom is 
conducive for knowledge acquisition.",6,5,1,0,0,8,1,0,0,0,0,0,0,0,0,1,3.62,3.62
19,"The course is well organized ( e.g. timely access to 
materials, feedback, notification of changes, etc.).",5,7,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.62,3.62
20,The course workload is manageable.,6,6,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.67,3.67
21,"The course material relates to real-world research 
work and applications.",7,5,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.67,3.67
22  Recommended text and reference books are ,,5,6,1,0,0,8,1,0,0,0,0,0,0,0,0,1,3.57,3.57
,relevant and appropriate.,,,,,,,,,,,,,,,,,,
23,"The instructor discusses the relevant research 
material (articles, technical reports).",4,8,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.57,3.57
24,"The course has helped to develop interest in this 
research area.",5,7,0,0,0,7,2,0,0,0,0,0,0,0,0,1,3.57,3.57
25  I feel confident about independent learning as a ,,6,6,0,0,0,8,1,0,0,0,0,0,0,0,0,1,3.67,3.67
,result of the course.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total:,25,90.57,%
,,,,,,,,,,,,,Overall Rating: 90.57,,,,,,
Page 1 of 2,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2022,,,,,,,,,,,,,,,
MG5041 - Entrepreneurship and Innovation     Section:MSP-2A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Syed Azhar ul Islam,Registered Students:,21,Received Feedbacks:,21,,,,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,,,,,
Course Content and Organization,,,,,,,,,,,,,,,,,,,
1 all content is good completely satisfied,,,,,,,,,,,,,,,,,,,
2 good,,,,,,,,,,,,,,,,,,,
"Assignment, Quizzes  Evaluation",,,,,,,,,,,,,,,,,,,
3 all good,,,,,,,,,,,,,,,,,,,
4 good,,,,,,,,,,,,,,,,,,,
Instructor’s quality of delivery of lectures and classroom learning environment,,,,,,,,,,,,,,,,,,,
